EMPLOYER_NAME,certified_positions,applications,median_annual_wage
VMware LLC,5,1,175427.0
Softworld Technologies LLC,5,5,101500.0
VASS Inc.,5,5,104083.0
BISWAS INFORMATION TECHNOLOGY SOLUTIONS INC.,5,5,92000.0
LTIMindtree Limited,5,5,118311.0
Amiti Consulting Inc,5,5,115939.0
MSR TECHNOLOGY GROUP LLC,5,5,126090.0
Global Alliant Inc,5,5,126090.0
"NovaGigs, Inc.",5,5,105000.0
"The PNC Financial Services Group, Inc.",5,5,189488.0
"Palo Alto Networks, Inc.",5,5,108020.0
Pentagon Federal Credit Union,5,5,183265.0
"SYSTEM SOFT TECHNOLOGIES, LLC",5,5,92000.0
Xpand Corporation,5,5,146154.0
China Telecom (Americas) Corporation,5,5,60000.0
Nantez Inc,5,5,107000.0
Hewlett Packard Enterprise Company,5,5,163030.0
SKILLTUNE TECHNOLOGIES INC,5,5,91585.0
"HDR Engineering, Inc.",5,5,95410.0
"CARFAX, Inc.",5,5,127750.0
Abeyon LLC,5,5,112466.0
"i360 Holdings, LLC",5,5,130000.0
Morgan Stanley Services Group Inc.,5,5,156000.0
"Meta Platforms, Inc",5,5,188000.0
"AMAZON WEB SERVICES, INC.",5,5,167019.0
Airline Tariff Publishing Company (ATPCO),5,5,143600.0
"Blue Lotus Systems, Inc.",5,5,102000.0
"SAP America, Inc.",5,5,182791.0
"Cloud BC Labs, Inc",5,5,107000.0
Govin Technologies LLC,5,5,112466.0
"AGR, LLC",5,5,108347.0
SEER SOLUTIONS INC,5,5,126090.0
"Tech Tammina, LLC",5,5,126090.0
"SES Americom, Inc.",5,5,99376.0
iPivot LLC,5,5,122699.0
"CA, Inc.",5,1,162528.0
KPMG LLP,4,4,136078.0
Career Soft Solutions Inc,4,4,126090.0
"Rebel Idealist, Inc.",4,4,159600.0
"Avco Consulting, Inc.",4,4,121222.0
Federal Express Corporation,4,4,151316.0
"AttainX, Inc.",4,4,101421.0
Gartner Inc,4,4,161583.0
"Hazen and Sawyer, D.P.C.",4,4,135739.0
"Saipsit, Inc.",4,4,116295.0
Hitachi Digital Services LLC,4,4,118310.0
"Green Brilliance, LLC",4,4,145278.0
"TEXPERTS, INC. ",4,4,99840.0
"Sapphire Software Services, Inc.",4,4,112468.0
Enliven Technologies Inc,4,4,126090.0
Evolent Health LLC,4,4,157879.0
Humana Inc.,4,4,130406.0
Sky Solutions LLC,4,4,128045.0
Tata Consultancy Services Limited,4,4,91292.0
"Inovalon, Inc.",4,4,122764.0
SATIN SOLUTIONS LLC,4,4,102030.0
Conservation International,4,4,75855.0
Bechtel Global Corporation,4,4,119334.0
Bechtel Enterprises Inc.,4,4,188562.0
CARFAX Admin LLC,4,4,98375.0
"Tech Wish, LLC",4,4,126500.0
SIRI SOFTWARE SOLUTIONS LLC,4,4,96502.0
SKY TECHNOLOGIES LLC,4,4,133350.0
CODE CONNECT INC,4,4,94942.0
KBYTE SYSTEM LLC,4,4,95628.0
Cyber Infotech LLC,4,4,111250.0
"COMTEK GLOBAL, INC.",4,4,113755.0
VIACORE TECHNOLOGIES INC,4,4,91800.0
"Experis US, LLC",4,4,140119.0
"SQUAD SOFTWARE, INC.",4,4,115939.0
TRANSCEND IT SOLUTIONS LLC.,4,4,93776.0
"Bloomberg Industry Group, Inc.",4,4,152100.0
"Cambium Assessment, Inc.",4,4,165111.0
BBI Law Group P.C.,4,4,77106.0
