EMPLOYER_NAME,certified_positions,applications,median_annual_wage
CHINA TELECOM (AMERICAS) CORPORATION,2,2,83355.0
"CollaboraIT, Inc.",2,2,101920.0
"Accelevation, LLC",2,2,101421.0
Accentuate IT Solutions,2,2,95150.0
Teckpros LLC,2,2,106477.0
Accure Inc.,2,2,115939.0
"TuniraSoft, LLC",2,2,108347.0
"Wartsila Energy Storage, Inc.",2,2,161698.0
Wartsila Energy Storage Inc.,2,2,117000.0
CINFRACS INC,2,2,95500.0
CINTRA US Services LLC,2,2,186750.0
TruMinds Technologies Inc,2,2,123770.0
Tror LLC,2,2,95451.0
"C&M Associates, Inc.",2,2,117500.0
"Applied Information Sciences, Inc.",2,2,179176.0
"Aquila Hash, Inc.",2,2,74000.0
Up2date Technologies LLC,2,2,126090.0
Cresta Intelligence Inc.,2,2,150758.0
Talteam Inc.,2,2,161938.0
"AR SOLUTIONS, INC.",2,2,126090.0
"Cotiviti, Inc.",2,2,154602.0
"Convoke, Inc.",2,2,154580.0
ARGUS SERVICES INC.,2,2,96741.0
Tech Info Services Inc,2,2,101421.0
Xinythos Inc,2,2,107671.0
Boto3 Inc.,2,2,101920.0
"Xcelerator Group, LLC",2,2,180214.0
"Verato, Inc.",2,2,146868.0
"Arculus Solutions, Inc.",2,2,124000.0
"Ventois, Inc",2,2,126090.0
"Confluent, Inc.",2,2,188800.0
AUGMENTARE INC,2,2,108680.0
TechEmpo Inc,2,2,126090.0
Brillius Technologies Inc,2,2,126090.0
"Concur Technologies, Inc.",2,2,159174.0
AUGUSTA IT SOLUTIONS LLC,2,2,101421.0
"Concepts Information Technology, Inc. ",2,2,101920.0
"CLC Compliance Technologies, Inc.",2,2,129950.0
"Vigna Solutions, Inc.",2,2,113818.0
CloudVik LLC,2,2,101421.0
"The Smile Mission South Miami, PLLC",2,1,129000.0
"Akkodis E&T, LLC",2,2,119600.0
"The Matthews Group, Inc.",2,2,114296.0
Centraprise Corp,2,2,126090.0
"CPA Global North America, LLC",2,2,146467.0
The Nature Conservancy,2,2,132000.0
WILLIS TOWERS WATSON US LLC,2,2,86185.0
"WELLS FARGO BANK, N.A.",2,2,168936.0
Allan Myers Inc.,2,2,84001.0
Virginia University of Integrative Medicine,2,2,88279.0
The Veritas Healthcare Solutions LLC,2,2,116563.0
WISSEN INFOTECH INC,2,2,145101.0
Virtuous Tech Inc,2,2,97344.0
CVS Pharmacy Inc.,2,2,129362.0
Carahsoft Technology Corp.,2,2,78000.0
Tios Capital LLC,2,2,140000.0
Caprus IT Inc,2,2,126090.0
"Tiger Analytics, Inc.",2,2,162750.0
"Cadmus Holding Company, Inc.",2,2,150500.0
VivSoft Technologies LLC,2,2,170000.0
Camelot Integrated Solutions Inc,2,2,126090.0
Aita Consulting Services Inc,2,2,117124.0
The Hanover Research Council LLC,2,2,89952.0
Advanced Computer Concepts Inc,2,2,162800.0
"Ancore, Inc.",2,2,119460.0
CloudQuest IT LLC,2,2,84344.0
Tekorg Inc,2,2,126090.0
"Advanced Management Technology, Inc.",2,2,158426.0
Anestis IT Inc,2,2,133120.0
"Trilogic Systems, LLC",2,2,110240.0
"Vignet, Inc.",2,2,134231.0
"Teleworld Solutions, Inc.",2,2,140500.0
Tenpearls LLC,2,2,106562.0
CLOUD360 INC,2,2,90002.0
City Concrete Corp,2,2,137738.0
"Air-Conditioning, Heating, and Refrigeration Institute",2,2,128901.0
"Affirm, Inc.",2,2,196000.0
"Traylor Bros., Inc.",2,2,108399.0
Trase Systems Inc.,2,2,220000.0
Cignus Consulting LLC,2,2,116000.0
"Cigniti Technologies, Inc.",2,2,106454.0
COLOR-AD INC.,2,2,66518.0
"The Elevance Health Companies, Inc.",2,2,143166.0
"Ana-Data Consulting, Inc.",2,2,101421.0
Ciberlynx Inc,2,2,101421.0
Talent9 Inc. ,2,2,118045.0
Bridgetown Consulting Group Inc,2,2,90022.0
CrossCountry Consulting,2,2,103500.0
ADAEQUARE INC,2,2,126090.0
ADROIT INNOVATIVE SOLUTIONS INC.,2,2,91582.0
"TECHPRO SOLUTIONS, INC.",2,2,102250.0
VSL Electrical Signing Lighting LLC,2,2,95469.0
e-Kare Inc.,2,2,99233.0
VSTRS LLC DBA TekGlobal,2,2,101421.0
Bayer HealthCare LLC,2,2,183587.0
VYSOFT SOLUTIONS INC.,2,2,127000.0
TEKNOWLEAP INC,2,2,138424.0
"DISYS Solutions, Inc. (DSI)",2,2,123250.0
Beacon Hill Solutions Group LLC,2,2,100880.0
"comScore, Inc.",2,2,95953.0
APT HOLDINGS LLC ,2,2,104187.0
DFS Services LLC,2,2,147348.0
Bean Infosystems LLC,2,2,115939.0
"TEXPERTS, INC.",2,2,91770.0
THE CAPITAL MARKETS COMPANY,2,2,137970.0
August IT LLC,2,2,108836.0
AJACE INC,2,2,99630.0
AKRIVIS SOLUTIONS INC,2,2,118310.0
"BUSINESS TECHNOCRATS, INC.",2,2,93300.0
"ACMESOFT GLOBAL, INC.",2,2,107307.0
ALLAGI TECHNOLOGIES INC ,2,2,72800.0
"eRay Technologies, LLC",2,2,122530.0
Swartek Corporation,2,2,125000.0
"iTech US, Inc.",2,2,108836.0
"Dulles Geotechnical and Material Testing Services, Inc.",2,2,111733.0
iSolve Technology Inc.,2,2,120370.0
"Drivestream, Inc.",2,2,183000.0
"B1 IT Solutions, Inc",2,2,128606.0
"DrFirst.com, Inc.",2,2,107290.0
Synapse Business Systems Inc,2,2,85748.0
BANK OF AMERICA N.A.,2,2,148000.0
Dish Wireless LLC,2,2,168252.0
ABHYANTH SOLUTIONS INC ,2,2,113000.0
ABS Tech LLC,2,2,120650.0
"Demeter Analytics Services, LLC",2,2,172000.0
T.E. LLC,2,2,76066.0
"BJ's Wholesale Club, Inc.",2,2,133030.0
TE Connectivity Corporation,2,2,135000.0
VIAC SERVICES COMPANY,2,2,135500.0
Databuoy Corporation,2,2,121250.0
"Databricks, Inc.",2,2,192100.0
"THOUGHT BYTE, INC.",2,2,118550.0
AI Pioneer LLC,2,2,126090.0
Altimetrik Corp,2,2,126090.0
"ANTITHESIS OPERATIONS, LLC.",2,2,115500.0
"AMAZON DEVELOPMENT CENTER U.S., INC. ",2,2,169542.0
ANIRA SOLUTIONS INC,2,2,126090.0
CyberSource Corporation,2,2,150758.0
"ValuePro, Inc",2,2,126090.0
Urgent.ly,2,2,207400.0
"Bluecore, Inc.",2,2,160000.0
"Astute Engineering, PLLC",2,2,96855.0
"Biologics Consulting Group, Inc.",2,2,162500.0
Astor & Sanders Corporation,2,2,153082.0
AMITI CONSULTING INC,2,2,82139.0
"D2Sol, Inc.",2,2,160500.0
Vejars Technologies Inc,2,2,126090.0
TILTIFY INC,2,2,100000.0
"Bode Cellmark Forensics, Inc.",2,2,75153.0
VeloxAI LLC,1,1,87000.0
Virat Solutions Inc,1,1,126090.0
"Regal IT Services, Inc",1,1,106912.0
"Regeneron Pharmaceuticals, Inc.",1,1,151041.0
RCC Global LLC,1,1,175000.0
Virat Solutions Inc.,1,1,126090.0
"VR IT Resources, LLC",1,1,106912.0
RAYVEN IT SOLUTIONS LLC.,1,1,126090.0
Regional Management Corp.,1,1,220000.0
Varmoda Tech LLC,1,1,107000.0
Vanasse Hangen Brustlin Inc,1,1,73507.0
RC4Vets LLC,1,1,75750.0
Virginia Animal Care PLLC,1,1,120000.0
Relis Management Company,1,1,218192.0
VORIZO INFO TECH INC,1,1,104083.0
"Reltio, Inc",1,1,162000.0
"Viscadia, Inc.",1,1,143395.0
"VJ Technosoft, Inc.",1,1,126090.0
RUBISTONE TECHNOLOGIES LLC,1,1,126090.0
RA SOFT LLC,1,1,114400.0
RT Solutions Corporation,1,1,85000.0
Veloce IT Group LLC,1,1,126090.0
"VisiQuate, Inc.",1,1,115939.0
"RAMPS INTERNATIONAL, INC",1,1,132000.0
RSM US LLP,1,1,125000.0
RYZLINK CORP,1,1,86944.0
Remington Construction LLC,1,1,161158.0
"Virtualan Software, LLC",1,1,91582.0
RAMSAI SOFTWARE SOLUTIONS INC,1,1,83200.0
"RPI Consultants, LLC",1,1,152048.0
VLink Inc.,1,1,95784.0
"Remote Tiger, Inc.",1,1,108682.0
RAPID ANALYTICS INC,1,1,91582.0
Vcarve Inc,1,1,126100.0
Venable LLP,1,1,340000.0
"ROVISYS BUILDING TECHNOLOGIES, LLC",1,1,102000.0
"RFID Global Solution, Inc.",1,1,168000.0
"ROGERS & COMPANY CPAS, PLLC",1,1,78000.0
Rand Construction Corporation,1,1,114296.0
Verizon Data Services LLC,1,1,170317.0
Viewsoft Inc.,1,1,101421.0
"Victoire Systems, LLC",1,1,106912.0
"RealPage, Inc.",1,1,135436.0
Raysoft Global INC,1,1,126090.0
RITE CODE TECHNOLOGIES INC.,1,1,101500.0
Ramp Business Corporation,1,1,69535.0
"Range Finance, Inc.",1,1,180000.0
"RELX, Inc.",1,1,130000.0
REHAU Incorporated,1,1,69139.0
RELYCOM INC,1,1,105000.0
"REMOTE TIGER, INC.",1,1,129480.0
"Vici Voice, Inc.",1,1,101421.0
RISE EDGE INC,1,1,106442.0
"Ramsai Software Solutions, INC",1,1,126090.0
"Viavi Solutions, Inc.",1,1,141862.0
REVATURE LLC,1,1,130900.0
"VYZER SOLUTIONS, INC",1,1,127000.0
RLT Technologies,1,1,86000.0
"Ramboll Americas Engineering Solutions, Inc",1,1,77040.0
VRIT Tech INC,1,1,126500.0
"Red Oak Strategic, LLC",1,1,110000.0
Vision IT USA Inc,1,1,83500.0
Vertex Pharmaceuticals Incorporated,1,1,184000.0
RCube IT LLC,1,1,115939.0
"RDM International, Inc.",1,1,112500.0
RE IT SERVICES INC,1,1,101421.0
"ROCKY MOUNTAIN INSTITUTE, INC.",1,1,105230.0
"Radiant Digital Solutions, Inc.",1,1,126090.0
"Redwood Commercial Management, LLC",1,1,95000.0
"Red Hat, LLC",1,1,126090.0
"Vaisnavi Group, LLC",1,1,91600.0
REALTECH SERVICES LLC.,1,1,108160.0
VSERVE SYSTEMS INC,1,1,126090.0
"Radiology Partners Management, LLC",1,1,137000.0
ROBOTICS TECHNOLOGIES LLC,1,1,101421.0
"Vigna, Inc",1,1,101421.0
ROBOT INSIGHT TECHNOLOGIES,1,1,104083.0
"ValueMomentum, Inc. ",1,1,124800.0
ROBAM APPLIANCES LA TRADE LLC,1,1,79997.0
Refyn Data LLC,1,1,126090.0
PureEHS Buyer LLC,1,1,126090.0
Vive Tech Solutions LLC,1,1,126090.0
PayRiva Inc,1,1,165000.0
ZYMO SOLUTIONS LLC,1,1,118310.0
PeopleNTech LLC,1,1,84344.0
Zasti Inc.,1,1,120000.0
"Peninsula Pediatric Dentistry, PC",1,1,416000.0
"ZealTech, Inc",1,1,130811.0
PediaMetrix Inc.,1,1,176800.0
"Zendesk, Inc.",1,1,147107.0
"Pioneer Global, Inc.",1,1,92000.0
Pawlystic LLC,1,1,115939.0
Zenspace IT LLC,1,1,126090.0
"Zillow, Inc.",1,1,150758.0
Parla Dynamics Inc.,1,1,93600.0
"Parker Rodriguez, Inc.",1,1,67725.0
"Zima International, Inc.",1,1,144375.0
ZREYA TECH INC,1,1,101421.0
ZEMOSO TECHNOLOGIES INC,1,1,140837.0
Perficientcorp INC,1,1,101421.0
"Personify, Inc.",1,1,101421.0
Z-Modular LLC,1,1,200000.0
"Yash & Lujan Consulting, Inc.",1,1,155000.0
Petroleum Marketing Group,1,1,112466.0
"YI & COMPANY, LLC",1,1,69139.0
"YAKSHNA SOLUTIONS, INC.",1,1,175200.0
"Xuejuan Dance Ensemble, LLC ",1,1,75026.0
PharmaForceIQ Inc.,1,1,128800.0
Pike Solutions Inc,1,1,145330.0
"Pillars Development, LLC",1,1,97700.0
"Pinecone Systems, Inc.",1,1,236000.0
"Xadel IT, INC.",1,1,126090.0
"XLYSI, LLC",1,1,126090.0
"X Corp Solutions, Inc",1,1,175427.0
Park US Lessee Holdings,1,1,76000.0
Zion Acupuncture LLC,1,1,76960.0
"Parikh, P.C.",1,1,84344.0
PROCAL TECHNOLOGIES INC ,1,1,95000.0
"iZeal, Inc",1,1,106454.0
"PINTEGRA, LLC",1,1,129667.0
iSoft LLC,1,1,92000.0
iClean Air Products LLC,1,1,78000.0
i5 TECH INC,1,1,126100.0
POSITIVE GROUP LLC,1,1,126090.0
POSTOL LAW FIRM PC,1,1,171038.0
POTOMAC CONFERENCE CORPORATION OF SEVENTH-DAY ADVENTISTS,1,1,89868.0
PRASQUARE TECHNOLOGIES LLC,1,1,91582.0
exp U.S. Services Inc.,1,1,132092.0
"PREMIER IT SOLUTIONS, LLC",1,1,105146.0
"eviCore Healthcare MSI, LLC",1,1,116310.0
PRIME BUSINESS TECHNOLOGIES INC,1,1,118310.0
eSimplicity Inc.,1,1,175427.0
PROMINDS BUSINESS CONSULTING INC,1,1,126090.0
"Pareto, Inc.",1,1,175427.0
"ePromptus, Inc.",1,1,126880.0
eNcloud Services LLC,1,1,126090.0
eMaestro technologies Inc,1,1,127000.0
PUBLIC PARTNERSHIPS LLC,1,1,205000.0
"eHealthInsurance Services, Inc.",1,1,115939.0
eClerx LLC,1,1,99403.0
"PY DATA SOLUTIONS, INC",1,1,126090.0
"dotSolved Systems, Inc.",1,1,140000.0
"PYXIS Management Consulting Group, LLC",1,1,120000.0
Pajosys Technologies LLC,1,1,143395.0
cyberThink Inc,1,1,107000.0
Zonestra Technologies LLC,1,1,126090.0
"ZipRecruiter, Inc.",1,1,
"Parallon Enterprises, LLC",1,1,115939.0
"Wiss, Janney, Elstner Associates, Inc.",1,1,90938.0
"Wilco Source, LLC",1,1,126200.0
"Quartermaster AI, Inc",1,1,180000.0
Wake Forest University Health Sciences,1,1,83000.0
"WORLDWIDE MISSION CRITICAL, LLC",1,1,108000.0
WSP USA BUILDINGS INC.,1,1,165006.0
WSP USA Inc.,1,1,90938.0
"WTAnow, LLC",1,1,116000.0
"Pyramid Consulting, Inc. ",1,1,150758.0
"Waggener Edstrom Worldwide, Inc.",1,1,118310.0
VJ TECHNOSOFT INC,1,1,126090.0
"Pisoft, Inc.",1,1,126090.0
Pure Integration LLC,1,1,95000.0
"Punita Group, Inc. ",1,1,56160.0
"Publix Super Markets, Inc.",1,1,175427.0
"Publicis Media, Inc",1,1,153772.0
Pryze App Inc.,1,1,75000.0
"Wallace Montgomery and Associates, LLP",1,1,83075.0
"QCM, Inc",1,1,125778.0
"QUEST GLOBAL SERVICES- N.A., INC.",1,1,126100.0
"QXO, Inc.",1,1,175000.0
Qamise INC,1,1,153462.0
QennectIT LLC,1,1,128461.0
"WISETEK PROVIDERS, INC.",1,1,106475.0
"Quadric IT, LLC",1,1,82950.0
Qual Pro Corporation,1,1,149094.0
"Vyzer Solutions, Inc",1,1,105146.0
Vypra Inc,1,1,101421.0
Qualified Health PBC,1,1,210000.0
Vrunda Technologies LLC,1,1,133500.0
Volto Consulting and Services LLC,1,1,126090.0
"Qualus, LLC",1,1,126464.0
"Quantiphi, Inc.",1,1,130000.0
"Quantum Lending Solutions, Inc.",1,1,150000.0
"Quantum Vision, LLC",1,1,150758.0
ProvinceSoft Inc.,1,1,107000.0
Protestant Episcopal Theological Seminary in Virginia,1,1,68943.0
Walnut Consulting Group LLC,1,1,66000.0
"Premium Labs, Inc.",1,1,130000.0
Pistos IT Services LLC,1,1,126090.0
Pistos It Services LLC,1,1,101421.0
Pivotal Leap LLC,1,1,99500.0
"Plaid, Inc.",1,1,176640.0
"Plateau Software, Inc",1,1,175427.0
"West Virginia University Hospitals, Inc.",1,1,171650.0
"Pointe Blank Solutions, LTD",1,1,106000.0
West Virginia University,1,1,75000.0
"Polakams, LLC ",1,1,130000.0
West Publishing Corporation,1,1,105472.0
Potomac Economics Ltd.,1,1,114899.0
PowerSchool Group LLC,1,1,124717.0
"Powerup Technology, Inc.",1,1,220375.0
"Premier, Inc.",1,1,132600.0
"Weris, Inc.",1,1,75748.0
"Protech Dental Lab, Inc",1,1,88000.0
"Press Mechanical, Inc.",1,1,110000.0
"Private Tech, Inc.",1,1,260000.0
"Washon MedData, Inc.",1,1,92000.0
"Washingtonian Law, PLLC",1,1,97698.0
"Privilege Underwriters, Inc.",1,1,143395.0
"Washington University of Science and Technology, LLC",1,1,103943.0
ProKatchers LLC,1,1,170872.0
Prodigy Technologies Inc,1,1,126090.0
Professional Geotechnical Engineeri,1,1,95000.0
Washington University of Science and Technology LLC,1,1,83470.0
Progress Rehabilitation Network LLC,1,1,98000.0
Warren and Carter Technologies Inc,1,1,115939.0
"Prorsum Technologies, Inc.",1,1,126090.0
"WarnerMedia Services, LLC",1,1,130431.0
Rentokil North America Inc.,1,1,123963.0
Swansu Inc,1,1,150758.0
"Resultant, LLC",1,1,225000.0
"SkilzMatrix Digital, LLC",1,1,151000.0
Smile Daily LLC,1,1,90000.0
SmartDW Inc,1,1,91582.0
TechData Service Company LLC,1,1,115000.0
"Slalom, Inc.",1,1,103998.0
"Sky Chefs, LLC",1,1,99615.0
Techathon Inc,1,1,126500.0
Skill Voice Inc.,1,1,126090.0
Smoore Labs,1,1,113696.0
"Skience, LLC",1,1,145330.0
"TechnoServe, Inc",1,1,84000.0
Skience LLC,1,1,101421.0
Singh Law Firm P.A.,1,1,90000.0
"Silvercrest Asset Management Group, LLC",1,1,69139.0
Silver Oak Technologies LLC,1,1,152048.0
Tech20 Solutions Inc,1,1,91582.0
"Tech-Lance Solutions, Inc.",1,1,126090.0
Shiyi Tealicious LLC,1,1,88192.0
Softtechers LLC,1,1,150758.0
Solid Construction Inc.,1,1,83034.0
"Sohum Systems, LLC",1,1,126090.0
Tango Management Consulting LLC,1,1,134550.0
Targeted Victory,1,1,57000.0
"Targeted Victory, LLC",1,1,102568.0
TeKCommands Inc,1,1,101421.0
Tecaholic LLC,1,1,115939.0
Tech VISTA LLC,1,1,126090.0
"Softility, Inc. ",1,1,151000.0
Tech Savants LLC,1,1,134160.0
Softcom Systems Inc,1,1,126250.0
SoftPath Technologies LLC,1,1,126090.0
"SoftCorp International, Inc.",1,1,126090.0
"Snorkel AI, Inc.",1,1,172000.0
Signin Soft Inc,1,1,126090.0
Shiv Software Experts LLC,1,1,91582.0
Talent Connect Solutions LLC,1,1,90000.0
"Savi Technologies, Inc",1,1,126090.0
TekSquilt Inc,1,1,101421.0
"SchooLinks, Inc.",1,1,139768.0
"Schmidt Special Studies Project, LLC",1,1,77300.0
"TekSyntax, Inc.",1,1,83200.0
Tekaccel Inc,1,1,97344.0
"Saviynt, Inc.",1,1,149698.0
"Savannah Holding Company, Inc.",1,1,72000.0
"Tek Grove, LLC",1,1,126880.0
"Tekcel Consulting, Inc.",1,1,106500.0
"Tekfinite, Inc.",1,1,102000.0
Saransh Inc,1,1,101421.0
Sara Software Systems LLC,1,1,126090.0
Tekspike LLC,1,1,126090.0
"Tektronix, Inc.",1,1,126152.0
Tek Leaders Inc,1,1,127000.0
"Tegna, Inc.",1,1,140250.0
"Shift4 Payments, LLC",1,1,118286.0
"Technumen, Inc.",1,1,126090.0
"Shield AI, Inc.",1,1,228571.0
"Technology Solution Providers, Inc",1,1,120000.0
Setty & Associates LTD,1,1,107037.0
"Technova Systems, Inc.",1,1,106454.0
Technoyon Inc. formerly known as Xcelligen Systems Inc.,1,1,101421.0
Sentara Health,1,1,131082.0
"Techorbit, Inc.",1,1,95300.0
"Techpro Solutions, Inc.",1,1,75000.0
Select Minds LLC,1,1,115939.0
"SeatGeek, Inc.",1,1,150000.0
Seagate US LLC,1,1,116616.0
"Techouts, Inc.",1,1,140850.0
"ScienceLogic, Inc.",1,1,104000.0
"Techpoint, LLC",1,1,88462.0
"Solomons International, LLC",1,1,126091.0
Solution Street LLC,1,1,164800.0
RevereIT LLC,1,1,124800.0
TECHNOSOFT CORPORATION,1,1,126090.0
TECHNICAL STRATEGIES INC,1,1,101500.0
TECHNOCRAFT SOLUTIONS LLC,1,1,115944.0
TECHNOFIX IT SOLUTIONS LLC.,1,1,112466.0
"Stride, Inc.",1,1,141211.0
PFIZER INC.,1,1,135100.0
"Stratez Infotech, Inc",1,1,116000.0
"TECHNOVERA, INC",1,1,127000.0
"Structural Engineering Group, Inc.",1,1,104000.0
"TECHPILLARS, INC.",1,1,126100.0
"Strategic Solutions Group, LLC",1,1,155000.0
"TECHQUEST SOLUTIONS, LLC.",1,1,101600.0
"Strategic Funding Source, Inc.",1,1,88462.0
"Strategic Alternative Funds Group, LLC",1,1,90000.0
TECHZION IT SOLUTIONS INC,1,1,126090.0
"Stripe, LLC",1,1,174720.0
TECHEVISION LLC,1,1,80000.0
TEKALLIANZ CORPORATION,1,1,110000.0
Sunraise Technologies INC,1,1,91582.0
Sunshare LLC,1,1,154710.0
"Switch, Ltd.",1,1,287000.0
Syllable Corporation,1,1,150000.0
"Sunset Pool Management, Inc.",1,1,77200.0
Synaptitude Inc.,1,1,145000.0
"Synchronisys, Inc.",1,1,108160.0
Syneren Technologies Corporation,1,1,86700.0
T.Y. Lin International,1,1,153600.0
"Synergy Business Innovation & Solutions, Inc.",1,1,140837.0
Synergy Consultants & CPAs LLC,1,1,70000.0
Syntage Tech LLC,1,1,126090.0
SunRaise Technologies Inc,1,1,83200.0
T Industries Inc.,1,1,165000.0
SunLight Technologies Inc,1,1,150758.0
TEK-STAR CORPORATION,1,1,126090.0
"TEKINTELI, INC",1,1,126100.0
SolveIT Services Inc,1,1,118310.0
Southland Industries,1,1,98800.0
"Speridian Technologies, LLC",1,1,126100.0
"Specialized Bicycle Components, Inc.",1,1,175427.0
TRC Environmental Corporation,1,1,101421.0
"SpartanNash Associates, LLC",1,1,144787.0
Sparksoft Corporation,1,1,140000.0
"TRC Solutions, Inc.",1,1,95326.0
Source Infotech Inc.,1,1,126500.0
"TORC Robotics, Inc.",1,1,211078.0
TRUSTEES OF BOSTON UNIVERSITY,1,1,76440.0
"TSOURCE, LLC",1,1,158350.0
Soniks Consulting LLC,1,1,101421.0
TYRULA LLC,1,1,140000.0
Somireddy Law Group PLLC,1,1,123240.0
"Tadjer-Cohen-Edelson Associates, Inc.",1,1,74880.0
Sperion LLC,1,1,126880.0
"SpringML, Inc. ",1,1,107100.0
Stooge Inc,1,1,108000.0
Sterling Jewelers Inc.,1,1,163363.0
"Stone Hot Pizza of Skyline, LLC",1,1,84344.0
"TEKSTAR IT SERVICES, LLC",1,1,97344.0
TEKSTROM INC.,1,1,126500.0
"Stoke Therapeutics, Inc.",1,1,126136.0
"TEKsystems Global Services, LLC",1,1,155000.0
"Sticky.io, Inc.",1,1,120000.0
THE STONE STUDIO LLC,1,1,80000.0
TOPSYS IT SOLUTIONS LLC,1,1,115939.0
THINKLUSIVE INC.,1,1,101421.0
"StayNTouch, Inc.",1,1,130562.0
"Stanley Black and Decker, Inc.",1,1,172379.0
Stanley Black & Decker Inc.,1,1,169600.0
Staffingspot LLC,1,1,106912.0
TK Softtech Solutions LLC,1,1,115000.0
"Sapot Systems, Inc",1,1,126090.0
Teleworker Inc.,1,1,127200.0
Sapient Corporation,1,1,135744.0
"Upskill Consultancy, Inc.",1,1,115939.0
SBE LLC,1,1,70000.0
University of Michigan,1,1,74124.0
"SAVI TECHNOLOGIES, INC",1,1,101421.0
University of Pittsburgh,1,1,62232.0
"SATAIR USA, INC.",1,1,85692.0
SAS Institute Inc.,1,1,140795.0
"Upstart Network, Inc.",1,1,160000.0
"SBS CyberSecurity, LLC",1,1,70298.0
Upward Innovations LLC,1,1,127000.0
"Urban Engineering & Associates, Inc. ",1,1,73507.0
Urbane Systems LLC,1,1,124717.0
"SANGHA CPA, P.C.",1,1,89000.0
SAIKA TECHNOLOGIES INC,1,1,130000.0
"Utimaco, Inc.",1,1,130000.0
"Universal Business Consulting, Inc.",1,1,96000.0
"United IT Solutions, Inc",1,1,126090.0
Super Tech Consulting LLC,1,1,118310.0
UST Global Inc,1,1,168817.0
UBS Business Solutions US LLC,1,1,135000.0
UIPATHTEK LLC,1,1,126090.0
SILA Solutions Group Inc.,1,1,76066.0
UL LLC,1,1,131866.0
UNITED GLOBAL PROFESSIONAL SERVICES INC,1,1,115939.0
USACS Medical Group Ltd.,1,1,260000.0
"Uber Technologies, Inc.",1,1,180000.0
United Granite LLC,1,1,112528.0
"Ulteig Engineers, Inc.",1,1,109725.0
Unique Technology Group Corp.,1,1,126090.0
SERVESYS CORPORATION,1,1,97406.0
SERVE OPERATING CO,1,1,175000.0
SERIMATRIX INC,1,1,115939.0
United Fortune IT Solutions LLC,1,1,106460.0
V-Infotek LLC,1,1,126880.0
"SAI TECHNOLOGIES, LLC.",1,1,106454.0
"Terra Site Constructors, LLC",1,1,90938.0
VIDHA IT SOLUTIONS LLC,1,1,126090.0
VCL Law LLP,1,1,171038.0
"VEN SOFT, LLC.",1,1,106454.0
VERACITY VENTURES INC,1,1,91582.0
"VERSA NETWORKS, INC.",1,1,240000.0
VERTECHIE LLC,1,1,101421.0
Risingstar Design & Build LLC,1,1,77106.0
VIRGINIA THEOLOGICAL SEMINARY,1,1,141740.0
VCA Inc.,1,1,210000.0
Rigas Technologies Inc.,1,1,115939.0
VIRTUAL LABS  INC.,1,1,91582.0
VIRTUSA CORPORATION,1,1,129807.0
Rhino.AI,1,1,176000.0
"Rhein Tech Laboratories, Inc.",1,1,95326.0
VISTALTECH INC,1,1,91582.0
Rocket Limited Partnership,1,1,150758.0
"Rogers & Company, CPAs PLLC",1,1,108472.0
"SAGARSOFT, INC",1,1,158080.0
"VALIANT TEK GROUP, INC.",1,1,115950.0
V.L.S. Systems Inc,1,1,127000.0
"SAAS Technologies, Inc.",1,1,126090.0
"VACATIA, INC.",1,1,140837.0
VAK Consulting LLC,1,1,150000.0
"S&P Global Market Intelligence, Inc.",1,1,171416.0
VALIANT TEK GROUP INC,1,1,116480.0
VARCONS INC,1,1,126090.0
VB Spine LLC,1,1,85000.0
"Rupa Viras Catering Services, LLC",1,1,77106.0
VARIYAS GLOBAL SOLUTIONS INC,1,1,126090.0
Ruha Technologies Inc,1,1,115939.0
"Rubrik, Inc.",1,1,190000.0
Rosendin Electric Inc.,1,1,83160.0
VARIYAS GLOBAL SOLUTIONS INC.,1,1,126090.0
SIRI INFOSOLUTIONS INC.,1,1,107000.0
U.S. BANK NATIONAL ASSOCIATION,1,1,156356.0
"Tyler Technologies, Inc.",1,1,88462.0
SYNTACTECH INC ,1,1,94500.0
"SYSTECHCORP, INC.",1,1,126500.0
"The Most Group, Inc.",1,1,135000.0
The New York Times Company,1,1,173993.0
The Reason Foundation,1,1,99000.0
The Russian School of Mathematics Inc.,1,1,65874.0
SYSCONSULT LLC.,1,1,83470.0
SYNECHRON INC,1,1,105060.0
"Sage Computing, Inc.",1,1,136710.0
SYNAPSIQ LLC,1,1,102170.0
SYDATA INC,1,1,126100.0
"The Wolf Group, PC",1,1,92405.0
SVS TECHNOLOGIES LIMITED,1,1,126090.0
SUPERIOR PAVING CORPORATION ,1,1,111429.0
"Thermo Fisher Scientific, Inc. ",1,1,143395.0
"The MathWorks, Inc.",1,1,175427.0
Sage Metrix Inc,1,1,91582.0
"Twilio, Inc.",1,1,165000.0
"Samsung Semiconductor, Inc.",1,1,233230.0
"Terracon Consultants, Inc.",1,1,84264.0
The Awesome Company,1,1,150000.0
Samtek Inc,1,1,126090.0
"The Baldwin Group Colleague, Inc.",1,1,137000.0
The Care Zoom LLC,1,1,101421.0
The College of William and Mary,1,1,76875.0
"Samsung Electronics America, Inc.",1,1,200000.0
The Lane Construction Corporation,1,1,100000.0
Sallie Mae Bank,1,1,100000.0
Saliense Consulting LLC,1,1,148500.0
The Freedom Bank of Virginia,1,1,73091.0
"Sailpoint Technologies, Inc.",1,1,150500.0
"The Institute for the Psychological Sciences, Inc.",1,1,102420.0
The Jackson Clinics Limited Partnership,1,1,99320.0
STV Incorporated,1,1,108347.0
