PARENT_EMPLOYER,certified_positions,filing_entities,applications,median_annual_wage
Caprus It Inc,2,1,2,126090.0
Trase Systems Inc.,2,1,2,220000.0
"Traylor Bros., Inc.",2,1,2,108399.0
Camelot Integrated Solutions Inc,2,1,2,126090.0
"Cadmus Holding Company, Inc.",2,1,2,150500.0
"C2 Educational Systems, Inc.",2,1,2,65936.0
"C&M Associates, Inc.",2,1,2,117500.0
"Trilogic Systems, Llc",2,1,2,110240.0
"Business Technocrats, Inc.",2,1,2,93300.0
Microstrategy Services Corporation Dba Strategy,2,1,2,132010.0
R2 Technologies Corporation,2,1,2,102024.0
Truminds Technologies Inc,2,1,2,123770.0
Brillius Technologies Inc,2,1,2,126090.0
"Millennium Info Tech, Inc.",2,1,2,114500.0
Bridgetown Consulting Group Inc,2,1,2,90022.0
"Tunirasoft, Llc",2,1,2,108347.0
Mindlance Inc.,2,1,2,132892.0
"Mindpetal Software Solutions, Llc",2,1,2,105269.0
Boto3 Inc.,2,1,2,101920.0
Minfy Technologies Inc,2,1,2,138611.0
Viac Services Company,2,1,2,135500.0
Argus Services Inc.,2,1,2,96741.0
"Arculus Solutions, Inc.",2,1,2,124000.0
Allagi Technologies Inc ,2,1,2,72800.0
Akrivis Solutions Inc,2,1,2,118310.0
"Akkodis E&T, Llc",2,1,2,119600.0
Northstar Technologies,2,1,2,135200.0
Aita Consulting Services Inc,2,1,2,117124.0
Nova Measuring Instruments Inc.,2,1,2,87194.0
"Air-Conditioning, Heating, And Refrigeration Institute",2,1,2,128901.0
Willis Towers Watson Us Llc,2,1,2,86185.0
Ai Pioneer Llc,2,1,2,126090.0
Wissen Infotech Inc,2,1,2,145101.0
"Affirm, Inc.",2,1,2,196000.0
"Ntt Data Services Federal Government, Llc",2,1,2,129648.0
"Xcelerator Group, Llc",2,1,2,180214.0
"Advanced Management Technology, Inc.",2,1,2,158426.0
Advanced Computer Concepts Inc,2,1,2,162800.0
Xinythos Inc,2,1,2,107671.0
Nusummit Cybersecurity Limited,2,1,2,138144.0
Adroit Innovative Solutions Inc.,2,1,2,91582.0
Xprotean Inc.,2,1,2,138424.0
Nuvitek Llc,2,2,2,155000.0
Adaequare Inc,2,1,2,126090.0
Yarrow Technologies Inc,2,1,2,108836.0
"Acmesoft Global, Inc.",2,1,2,107307.0
Accure Inc.,2,1,2,115939.0
Accentuate It Solutions,2,1,2,95150.0
"Accelevation, Llc",2,1,2,101421.0
Abs Tech Llc,2,1,2,120650.0
Abhyanth Solutions Inc ,2,1,2,113000.0
Old Dominion University,2,1,2,81786.0
"Olsson, Inc.",2,1,2,95160.0
"Wendroff And Associates, Llc",2,1,2,83000.0
Allan Myers Inc.,2,1,2,84001.0
"Vigna Solutions, Inc.",2,1,2,113818.0
Nortech North America Inc,2,1,2,113000.0
"Vignet, Inc.",2,1,2,134231.0
"Nestle Regional Globe Office North America, Inc.",2,1,2,163500.0
"Ar Solutions, Inc.",2,1,2,126090.0
"Aquila Hash, Inc.",2,1,2,74000.0
Apt Holdings Llc ,2,1,2,104187.0
"Nestlé Regional Globe Office North America, Inc.",2,1,2,164013.0
"Applied Information Sciences, Inc.",2,1,2,179176.0
Virginia University Of Integrative Medicine,2,1,2,88279.0
"Netflix, Inc.",2,1,2,175427.0
Virtuous Tech Inc,2,1,2,97344.0
Apexcode Labs Inc.,2,1,2,150758.0
"Antithesis Operations, Llc.",2,1,2,115500.0
"Paypal, Inc.",2,1,2,135398.0
"New Era Technology, Llc",2,1,2,112799.0
Anira Solutions Inc,2,1,2,126090.0
Anestis It Inc,2,1,2,133120.0
"Ancore, Inc.",2,1,2,119460.0
"Nexpro Technologies, Inc",2,1,2,115939.0
"Ana-Data Consulting, Inc.",2,1,2,101421.0
Vivsoft Technologies Llc,2,1,2,170000.0
Parsons Transportation Group Inc.,2,1,2,192323.0
"Paragonix Technologies, Inc.",2,1,2,300000.0
Vsl Electrical Signing Lighting Llc,2,1,2,95469.0
Vstrs Llc Dba Tekglobal,2,1,2,101421.0
Vysoft Solutions Inc.,2,1,2,127000.0
"Vyzer Solutions, Inc",2,2,2,116073.0
Altimetrik Corp,2,1,2,126090.0
Wartsila Energy Storage Inc.,2,1,2,117000.0
"Wartsila Energy Storage, Inc.",2,1,2,161698.0
"Thought Byte, Inc.",2,1,2,118550.0
Tror Llc,2,1,2,95451.0
"Comscore, Inc.",2,1,2,95953.0
Cloudquest It Llc,2,1,2,84344.0
Te Connectivity Corporation,2,1,2,135000.0
"Collaborait, Inc.",2,1,2,101920.0
Teknowleap Inc,2,1,2,138424.0
Tekorg Inc,2,1,2,126090.0
Providenz Llc,2,1,2,103100.0
Marvel Technology Solutions Inc,2,1,2,103760.0
"Lifelink Systems, Inc.",2,1,2,175000.0
Cybersource Corporation,2,1,2,150758.0
Cloudvik Llc,2,1,2,101421.0
"Teleworld Solutions, Inc.",2,1,2,140500.0
Tech Info Services Inc,2,1,2,101421.0
"Convoke, Inc.",2,1,2,154580.0
Talteam Inc.,2,1,2,161938.0
Maximus Inc.,2,1,2,117728.0
"Texperts, Inc.",2,1,2,91770.0
Cloud360 Inc,2,1,2,90002.0
"Proof Management, Llc",2,1,2,170000.0
Talent9 Inc. ,2,1,2,118045.0
The Capital Markets Company,2,1,2,137970.0
"Mccann Yan Holdings, Inc. ",2,1,2,125000.0
Cvs Pharmacy Inc.,2,1,2,129362.0
Linkwell Solutions Inc.,2,1,2,126090.0
"Mcfadyen Consulting Group, Inc.",2,1,2,152028.0
"Concepts Information Technology, Inc. ",2,1,2,101920.0
Lorvenk Technologies Llc,2,1,2,117957.0
"Pyramid Technology Solutions, Inc",2,1,2,126090.0
"Pyramid Systems, Inc.",2,1,2,110536.0
"Confluent, Inc.",2,1,2,188800.0
Luminavtech Llc,2,1,2,89000.0
Lussotech Llc,2,1,2,101421.0
"Logic Planet, Inc.",2,1,2,126100.0
"Concur Technologies, Inc.",2,1,2,159174.0
"Cotiviti, Inc.",2,1,2,154602.0
Teckpros Llc,2,1,2,106477.0
Liscr Llc,2,1,2,112412.0
Technocorp Solutions Inc,2,1,2,116501.0
Computer Sciences Corporation,2,1,2,131424.0
"Qtech Consulting Group, Inc.",2,1,2,126090.0
"Cpa Global North America, Llc",2,1,2,146467.0
Techempo Inc,2,1,2,126090.0
Color-Ad Inc.,2,1,2,66518.0
Cresta Intelligence Inc.,2,1,2,150758.0
Lithe Solutions Inc,2,1,2,129045.0
Crosscountry Consulting,2,1,2,103500.0
"The Elevance Health Companies, Inc.",2,1,2,143166.0
Tenpearls Llc,2,1,2,106562.0
"Medical Management International, Inc.",2,1,2,163250.0
Mebhaz Inc.,2,1,2,101421.0
Cinfracs Inc,2,1,2,95500.0
Cintra Us Services Llc,2,1,2,186750.0
"Quber, Inc.",2,1,2,118560.0
The Hanover Research Council Llc,2,1,2,89952.0
City Concrete Corp,2,1,2,137738.0
Sysrs It Services Llc,2,1,2,126090.0
"Medallia, Inc.",2,1,2,210250.0
Systemsoft Inc,2,1,2,106956.0
Databuoy Corporation,2,1,2,121250.0
"Cigniti Technologies, Inc.",2,1,2,106454.0
Dell Products L.P.,2,2,2,183355.0
"Databricks, Inc.",2,1,2,192100.0
T.E. Llc,2,1,2,76066.0
The Nature Conservancy,2,1,2,132000.0
"The Matthews Group, Inc.",2,1,2,114296.0
"Clc Compliance Technologies, Inc.",2,1,2,129950.0
The Veritas Healthcare Solutions Llc,2,1,2,116563.0
"D2Sol, Inc.",2,1,2,160500.0
"Lexisnexis Vitalchek Network, Inc.",2,1,2,122891.0
Cignus Consulting Llc,2,1,2,116000.0
Ciberlynx Inc,2,1,2,101421.0
"The Smile Mission South Miami, Pllc",2,1,1,129000.0
"Qcm, Inc",1,1,1,125778.0
Risingstar Design & Build Llc,1,1,1,77106.0
"Quest Global Services- N.A., Inc.",1,1,1,126100.0
"Ora, Inc.",1,1,1,97157.0
"Ramsai Software Solutions, Inc",1,1,1,126090.0
"Parallon Enterprises, Llc",1,1,1,115939.0
"Optilogic, Inc.",1,1,1,130000.0
"Optimal Satcom, Inc",1,1,1,80500.0
"Pareto, Inc.",1,1,1,175427.0
"Parikh, P.C.",1,1,1,84344.0
Park Us Lessee Holdings,1,1,1,76000.0
"Parker Rodriguez, Inc.",1,1,1,67725.0
"Range Finance, Inc.",1,1,1,180000.0
Qamise Inc,1,1,1,153462.0
Ra Soft Llc,1,1,1,114400.0
Optimus Unit Llc,1,1,1,106454.0
Qennectit Llc,1,1,1,128461.0
Rosendin Electric Inc.,1,1,1,83160.0
"Radiant Digital Solutions, Inc.",1,1,1,126090.0
Rand Construction Corporation,1,1,1,114296.0
"Qxo, Inc.",1,1,1,175000.0
Rise Edge Inc,1,1,1,106442.0
Ora Apps Inc,1,1,1,152048.0
Rite Code Technologies Inc.,1,1,1,101500.0
Parla Dynamics Inc.,1,1,1,93600.0
Ordinary Theory Llc,1,1,1,70699.0
"Quadric It, Llc",1,1,1,82950.0
Ramp Business Corporation,1,1,1,69535.0
"Orbis America, Inc.",1,1,1,152100.0
"Quantiphi, Inc.",1,1,1,130000.0
Robam Appliances La Trade Llc,1,1,1,79997.0
"Quantum Lending Solutions, Inc.",1,1,1,150000.0
Rlt Technologies,1,1,1,86000.0
Robot Insight Technologies,1,1,1,104083.0
Oregon State University,1,1,1,106560.0
Orien Solutions Inc,1,1,1,91582.0
Origami Risk Llc,1,1,1,179469.0
"Ramboll Americas Engineering Solutions, Inc",1,1,1,77040.0
Oriontek Inc.,1,1,1,126090.0
Robotics Technologies Llc,1,1,1,101421.0
"Quantum Vision, Llc",1,1,1,150758.0
"Qualus, Llc",1,1,1,126464.0
"Rogers & Company, Cpas Pllc",1,1,1,108472.0
Orpine Inc,1,1,1,126090.0
"Quartermaster Ai, Inc",1,1,1,180000.0
Rocket Limited Partnership,1,1,1,150758.0
"Radiology Partners Management, Llc",1,1,1,137000.0
"Rocky Mountain Institute, Inc.",1,1,1,105230.0
Ost Inc,1,1,1,73570.0
"Rogers & Company Cpas, Pllc",1,1,1,78000.0
Qualified Health Pbc,1,1,1,210000.0
"Outdoor Cap Company, Inc.",1,1,1,70117.0
Qual Pro Corporation,1,1,1,149094.0
"Ramps International, Inc",1,1,1,132000.0
Pace Computer Solutions Inc,1,1,1,110240.0
Pajosys Technologies Llc,1,1,1,143395.0
Pawlystic Llc,1,1,1,115939.0
Rehau Incorporated,1,1,1,69139.0
"Pyxis Management Consulting Group, Llc",1,1,1,120000.0
Prokatchers Llc,1,1,1,170872.0
Postol Law Firm Pc,1,1,1,171038.0
Positive Group Llc,1,1,1,126090.0
"Red Oak Strategic, Llc",1,1,1,110000.0
Remington Construction Llc,1,1,1,161158.0
Professional Geotechnical Engineeri,1,1,1,95000.0
"Polakams, Llc ",1,1,1,130000.0
Progress Rehabilitation Network Llc,1,1,1,98000.0
"Pointe Blank Solutions, Ltd",1,1,1,106000.0
"Red Hat, Llc",1,1,1,126090.0
Potomac Economics Ltd.,1,1,1,114899.0
Prominds Business Consulting Inc,1,1,1,126090.0
"Plateau Software, Inc",1,1,1,175427.0
Rentokil North America Inc.,1,1,1,123963.0
"Plaid, Inc.",1,1,1,176640.0
Realtech Services Llc.,1,1,1,108160.0
Pivotal Leap Llc,1,1,1,99500.0
"Resultant, Llc",1,1,1,225000.0
"Pisoft, Inc.",1,1,1,126090.0
Potomac Conference Corporation Of Seventh-Day Adventists,1,1,1,89868.0
Relycom Inc,1,1,1,105000.0
Rapid Analytics Inc,1,1,1,91582.0
"Regal It Services, Inc",1,1,1,106912.0
"Private Tech, Inc.",1,1,1,260000.0
Procal Technologies Inc ,1,1,1,95000.0
Regional Management Corp.,1,1,1,220000.0
"Regeneron Pharmaceuticals, Inc.",1,1,1,151041.0
Prodigy Technologies Inc,1,1,1,126090.0
Prime Business Technologies Inc,1,1,1,118310.0
"Press Mechanical, Inc.",1,1,1,110000.0
"Premium Labs, Inc.",1,1,1,130000.0
"Premier, Inc.",1,1,1,132600.0
"Relx, Inc.",1,1,1,130000.0
"Premier It Solutions, Llc",1,1,1,105146.0
Prasquare Technologies Llc,1,1,1,91582.0
"Powerup Technology, Inc.",1,1,1,220375.0
Refyn Data Llc,1,1,1,126090.0
Powerschool Group Llc,1,1,1,124717.0
Relis Management Company,1,1,1,218192.0
"Redwood Commercial Management, Llc",1,1,1,95000.0
"Reltio, Inc",1,1,1,162000.0
"Prorsum Technologies, Inc.",1,1,1,126090.0
Revature Llc,1,1,1,130900.0
"Protech Dental Lab, Inc",1,1,1,88000.0
"Privilege Underwriters, Inc.",1,1,1,143395.0
Persistent Systems Limited,1,1,1,125000.0
"Publix Super Markets, Inc.",1,1,1,175427.0
"Punita Group, Inc. ",1,1,1,56160.0
Rayven It Solutions Llc.,1,1,1,126090.0
Pure Integration Llc,1,1,1,95000.0
Perficientcorp Inc,1,1,1,101421.0
"Rhein Tech Laboratories, Inc.",1,1,1,95326.0
Raysoft Global Inc,1,1,1,126090.0
Peoplentech Llc,1,1,1,84344.0
Protestant Episcopal Theological Seminary In Virginia,1,1,1,68943.0
"Peninsula Pediatric Dentistry, Pc",1,1,1,416000.0
Rhino.Ai,1,1,1,176000.0
"Rovisys Building Technologies, Llc",1,1,1,102000.0
Pediametrix Inc.,1,1,1,176800.0
"Py Data Solutions, Inc",1,1,1,126090.0
Rigas Technologies Inc.,1,1,1,115939.0
Payriva Inc,1,1,1,165000.0
"Pyramid Consulting, Inc. ",1,1,1,150758.0
Rc4Vets Llc,1,1,1,75750.0
Rcc Global Llc,1,1,1,175000.0
"Publicis Media, Inc",1,1,1,153772.0
"Rfid Global Solution, Inc.",1,1,1,168000.0
Revereit Llc,1,1,1,124800.0
"Pioneer Global, Inc.",1,1,1,92000.0
"Realpage, Inc.",1,1,1,135436.0
Re It Services Inc,1,1,1,101421.0
"Rdm International, Inc.",1,1,1,112500.0
Provincesoft Inc.,1,1,1,107000.0
"Pintegra, Llc",1,1,1,129667.0
"Pinecone Systems, Inc.",1,1,1,236000.0
"Pillars Development, Llc",1,1,1,97700.0
Pryze App Inc.,1,1,1,75000.0
Pike Solutions Inc,1,1,1,145330.0
Rcube It Llc,1,1,1,115939.0
Pharmaforceiq Inc.,1,1,1,128800.0
Pfizer Inc.,1,1,1,135100.0
Petroleum Marketing Group,1,1,1,112466.0
"Personify, Inc.",1,1,1,101421.0
Public Partnerships Llc,1,1,1,205000.0
Pureehs Buyer Llc,1,1,1,126090.0
"15Five, Inc.",1,1,1,190000.0
"Rpi Consultants, Llc",1,1,1,152048.0
"Tsource, Llc",1,1,1,158350.0
"Ulteig Engineers, Inc.",1,1,1,109725.0
Ul Llc,1,1,1,131866.0
Uipathtek Llc,1,1,1,126090.0
Ubs Business Solutions Us Llc,1,1,1,135000.0
"Uber Technologies, Inc.",1,1,1,180000.0
Tyrula Llc,1,1,1,140000.0
"Tyler Technologies, Inc.",1,1,1,88462.0
"Twilio, Inc.",1,1,1,165000.0
"Trustek, Inc. ",1,1,1,118500.0
United Fortune It Solutions Llc,1,1,1,106460.0
Trustees Of Boston University,1,1,1,76440.0
Triotek It Inc,1,1,1,126090.0
Trimble Inc. ,1,1,1,110119.0
Trilok Software Solutions Llc,1,1,1,114120.0
Trilogy Federal Llc,1,1,1,115939.0
"Trigent Solutions, Inc.",1,1,1,120000.0
"Tricopp, Inc.",1,1,1,175427.0
Tribis Inc,1,1,1,105000.0
Unique Technology Group Corp.,1,1,1,126090.0
United Global Professional Services Inc,1,1,1,115939.0
"Trc Solutions, Inc.",1,1,1,95326.0
Usacs Medical Group Ltd.,1,1,1,260000.0
Valiant Tek Group Inc,1,1,1,116480.0
Vak Consulting Llc,1,1,1,150000.0
"Vaisnavi Group, Llc",1,1,1,91600.0
"Vacatia, Inc.",1,1,1,140837.0
V.L.S. Systems Inc,1,1,1,127000.0
V-Infotek Llc,1,1,1,126880.0
"Utimaco, Inc.",1,1,1,130000.0
Ust Global Inc,1,1,1,168817.0
Urbane Systems Llc,1,1,1,124717.0
United Granite Llc,1,1,1,112528.0
"Urban Engineering & Associates, Inc. ",1,1,1,73507.0
Upward Innovations Llc,1,1,1,127000.0
"Upstart Network, Inc.",1,1,1,160000.0
"Upskill Consultancy, Inc.",1,1,1,115939.0
University Of Pittsburgh,1,1,1,62232.0
University Of Michigan,1,1,1,74124.0
"Universal Business Consulting, Inc.",1,1,1,96000.0
"United It Solutions, Inc",1,1,1,126090.0
"Trianz Consulting, Inc.",1,1,1,150758.0
Trc Environmental Corporation,1,1,1,101421.0
"Valuemomentum, Inc. ",1,1,1,124800.0
The Awesome Company,1,1,1,150000.0
"The Mathworks, Inc.",1,1,1,175427.0
The Lane Construction Corporation,1,1,1,100000.0
The Jackson Clinics Limited Partnership,1,1,1,99320.0
"The Institute For The Psychological Sciences, Inc.",1,1,1,102420.0
The Freedom Bank Of Virginia,1,1,1,73091.0
The College Of William And Mary,1,1,1,76875.0
The Care Zoom Llc,1,1,1,101421.0
"The Baldwin Group Colleague, Inc.",1,1,1,137000.0
"Terracon Consultants, Inc.",1,1,1,84264.0
The New York Times Company,1,1,1,173993.0
"Terra Site Constructors, Llc",1,1,1,90938.0
Teleworker Inc.,1,1,1,127200.0
"Tektronix, Inc.",1,1,1,126152.0
"Teksystems Global Services, Llc",1,1,1,155000.0
"Teksyntax, Inc.",1,1,1,83200.0
Tekstrom Inc.,1,1,1,126500.0
"Tekstar It Services, Llc",1,1,1,97344.0
Teksquilt Inc,1,1,1,101421.0
"The Most Group, Inc.",1,1,1,135000.0
The Reason Foundation,1,1,1,99000.0
Transurban (Usa) Inc.,1,1,1,202030.0
Tk Softtech Solutions Llc,1,1,1,115000.0
"Transunion Interactive, Inc.",1,1,1,102482.0
"Transcend It Solutions, Llc",1,1,1,91582.0
Trader Interactive Llc,1,1,1,175427.0
"Total Resource Management, Inc.",1,1,1,149500.0
"Total Mortgage Services, Llc",1,1,1,115000.0
"Torc Robotics, Inc.",1,1,1,211078.0
Topsys It Solutions Llc,1,1,1,115939.0
"Toast, Inc.",1,1,1,130300.0
Tidalwave Tech Inc.,1,1,1,161000.0
The Russian School Of Mathematics Inc.,1,1,1,65874.0
"Thrive Market, Inc.",1,1,1,185000.0
"Thoughtworks, Inc.",1,1,1,245000.0
"Thoughtfocus, Inc.",1,1,1,128461.0
"Thorlabs, Inc.",1,1,1,102586.0
Thinklusive Inc.,1,1,1,101421.0
"Thermo Fisher Scientific, Inc. ",1,1,1,143395.0
"The Wolf Group, Pc",1,1,1,92405.0
The Stone Studio Llc,1,1,1,80000.0
"Valiant Tek Group, Inc.",1,1,1,115950.0
Vanasse Hangen Brustlin Inc,1,1,1,73507.0
Rsm Us Llp,1,1,1,125000.0
"Washon Meddata, Inc.",1,1,1,92000.0
"Worldwide Mission Critical, Llc",1,1,1,108000.0
"Wiss, Janney, Elstner Associates, Inc.",1,1,1,90938.0
"Wisetek Providers, Inc.",1,1,1,106475.0
"Wilco Source, Llc",1,1,1,126200.0
"West Virginia University Hospitals, Inc.",1,1,1,171650.0
West Virginia University,1,1,1,75000.0
West Publishing Corporation,1,1,1,105472.0
"Weris, Inc.",1,1,1,75748.0
"Washingtonian Law, Pllc",1,1,1,97698.0
Wsp Usa Inc.,1,1,1,90938.0
"Washington University Of Science And Technology, Llc",1,1,1,103943.0
Washington University Of Science And Technology Llc,1,1,1,83470.0
Warren And Carter Technologies Inc,1,1,1,115939.0
"Warnermedia Services, Llc",1,1,1,130431.0
Walnut Consulting Group Llc,1,1,1,66000.0
"Wallace Montgomery And Associates, Llp",1,1,1,83075.0
Wake Forest University Health Sciences,1,1,1,83000.0
"Waggener Edstrom Worldwide, Inc.",1,1,1,118310.0
Wsp Usa Buildings Inc.,1,1,1,165006.0
"Wtanow, Llc",1,1,1,116000.0
Vserve Systems Inc,1,1,1,126090.0
Zemoso Technologies Inc,1,1,1,140837.0
Zreya Tech Inc,1,1,1,101421.0
Zonestra Technologies Llc,1,1,1,126090.0
"Ziprecruiter, Inc.",1,1,1,
Zion Acupuncture Llc,1,1,1,76960.0
"Zima International, Inc.",1,1,1,144375.0
"Zillow, Inc.",1,1,1,150758.0
Zenspace It Llc,1,1,1,126090.0
"Zendesk, Inc.",1,1,1,147107.0
"Zealtech, Inc",1,1,1,130811.0
"X Corp Solutions, Inc",1,1,1,175427.0
Zasti Inc.,1,1,1,120000.0
Z-Modular Llc,1,1,1,200000.0
"Yi & Company, Llc",1,1,1,69139.0
"Yash & Lujan Consulting, Inc.",1,1,1,155000.0
"Yakshna Solutions, Inc.",1,1,1,175200.0
"Xuejuan Dance Ensemble, Llc ",1,1,1,75026.0
"Xlysi, Llc",1,1,1,126090.0
"Xadel It, Inc.",1,1,1,126090.0
Vypra Inc,1,1,1,101421.0
Vrunda Technologies Llc,1,1,1,133500.0
Varcons Inc,1,1,1,126090.0
"Ven Soft, Llc.",1,1,1,106454.0
"Vici Voice, Inc.",1,1,1,101421.0
"Viavi Solutions, Inc.",1,1,1,141862.0
Vertex Pharmaceuticals Incorporated,1,1,1,184000.0
Vertechie Llc,1,1,1,101421.0
"Versa Networks, Inc.",1,1,1,240000.0
Verizon Data Services Llc,1,1,1,170317.0
Veracity Ventures Inc,1,1,1,91582.0
Venable Llp,1,1,1,340000.0
Veloxai Llc,1,1,1,87000.0
Vidha It Solutions Llc,1,1,1,126090.0
Veloce It Group Llc,1,1,1,126090.0
Vcl Law Llp,1,1,1,171038.0
Vcarve Inc,1,1,1,126100.0
Vca Inc.,1,1,1,210000.0
Vb Spine Llc,1,1,1,85000.0
Varmoda Tech Llc,1,1,1,107000.0
Variyas Global Solutions Inc.,1,1,1,126090.0
Variyas Global Solutions Inc,1,1,1,126090.0
"Victoire Systems, Llc",1,1,1,106912.0
Viewsoft Inc.,1,1,1,101421.0
Vrit Tech Inc,1,1,1,126500.0
"Visiquate, Inc.",1,1,1,115939.0
"Vr It Resources, Llc",1,1,1,106912.0
Vorizo Info Tech Inc,1,1,1,104083.0
Volto Consulting And Services Llc,1,1,1,126090.0
Vlink Inc.,1,1,1,95784.0
"Vj Technosoft, Inc.",1,1,1,126090.0
Vj Technosoft Inc,1,1,1,126090.0
Vive Tech Solutions Llc,1,1,1,126090.0
Vistaltech Inc,1,1,1,91582.0
Vision It Usa Inc,1,1,1,83500.0
"Vigna, Inc",1,1,1,101421.0
"Viscadia, Inc.",1,1,1,143395.0
Virtusa Corporation,1,1,1,129807.0
"Virtualan Software, Llc",1,1,1,91582.0
Virtual Labs  Inc.,1,1,1,91582.0
Virginia Theological Seminary,1,1,1,141740.0
Virginia Animal Care Pllc,1,1,1,120000.0
Virat Solutions Inc.,1,1,1,126090.0
Virat Solutions Inc,1,1,1,126090.0
Tekspike Llc,1,1,1,126090.0
"Tekinteli, Inc",1,1,1,126100.0
"Tekfinite, Inc.",1,1,1,102000.0
"Skilzmatrix Digital, Llc",1,1,1,151000.0
"Snorkel Ai, Inc.",1,1,1,172000.0
Smoore Labs,1,1,1,113696.0
Smile Daily Llc,1,1,1,90000.0
Smartdw Inc,1,1,1,91582.0
Sln Solutions Llc.,1,1,1,101421.0
Slm Education Services Llc F/K/A Slm Nitrocollege Llc,1,1,1,169950.0
"Slalom, Inc.",1,1,1,103998.0
"Sky Chefs, Llc",1,1,1,99615.0
Skill Voice Inc.,1,1,1,126090.0
"Softcorp International, Inc.",1,1,1,126090.0
"Skience, Llc",1,1,1,145330.0
Skience Llc,1,1,1,101421.0
Siri Infosolutions Inc.,1,1,1,107000.0
Singh Law Firm P.A.,1,1,1,90000.0
"Silvercrest Asset Management Group, Llc",1,1,1,69139.0
Silver Oak Technologies Llc,1,1,1,152048.0
Sila Solutions Group Inc.,1,1,1,76066.0
Signin Soft Inc,1,1,1,126090.0
Softcom Systems Inc,1,1,1,126250.0
"Softility, Inc. ",1,1,1,151000.0
Shiv Software Experts Llc,1,1,1,91582.0
Soniks Consulting Llc,1,1,1,101421.0
"Springml, Inc. ",1,1,1,107100.0
Sperion Llc,1,1,1,126880.0
"Speridian Technologies, Llc",1,1,1,126100.0
"Specialized Bicycle Components, Inc.",1,1,1,175427.0
"Spartannash Associates, Llc",1,1,1,144787.0
Sparksoft Corporation,1,1,1,140000.0
Southland Industries,1,1,1,98800.0
Source Infotech Inc.,1,1,1,126500.0
Somireddy Law Group Pllc,1,1,1,123240.0
Softovainc,1,1,1,84448.0
Solveit Services Inc,1,1,1,118310.0
Solution Street Llc,1,1,1,164800.0
"Solomons International, Llc",1,1,1,126091.0
Solid Construction Inc.,1,1,1,83034.0
"Sohum Systems, Llc",1,1,1,126090.0
"Software Technology, Inc.",1,1,1,130000.0
Softtechers Llc,1,1,1,150758.0
Softpath Technologies Llc,1,1,1,126090.0
Shiyi Tealicious Llc,1,1,1,88192.0
"Shift4 Payments, Llc",1,1,1,118286.0
Tekcommands Inc,1,1,1,101421.0
"Sage Computing, Inc.",1,1,1,136710.0
"Samsung Semiconductor, Inc.",1,1,1,233230.0
"Samsung Electronics America, Inc.",1,1,1,200000.0
Sallie Mae Bank,1,1,1,100000.0
Saliense Consulting Llc,1,1,1,148500.0
"Sailpoint Technologies, Inc.",1,1,1,150500.0
Saika Technologies Inc,1,1,1,130000.0
"Sai Technologies, Llc.",1,1,1,106454.0
Sage Metrix Inc,1,1,1,91582.0
"Sagarsoft, Inc",1,1,1,158080.0
"Sangha Cpa, P.C.",1,1,1,89000.0
"Saas Technologies, Inc.",1,1,1,126090.0
"S&P Global Market Intelligence, Inc.",1,1,1,171416.0
Ryzlink Corp,1,1,1,86944.0
"Rupa Viras Catering Services, Llc",1,1,1,77106.0
Ruha Technologies Inc,1,1,1,115939.0
"Rubrik, Inc.",1,1,1,190000.0
Rubistone Technologies Llc,1,1,1,126090.0
Rt Solutions Corporation,1,1,1,85000.0
Samtek Inc,1,1,1,126090.0
Sapient Corporation,1,1,1,135744.0
"Shield Ai, Inc.",1,1,1,228571.0
"Sciencelogic, Inc.",1,1,1,104000.0
Setty & Associates Ltd,1,1,1,107037.0
Servesys Corporation,1,1,1,97406.0
Serve Operating Co,1,1,1,175000.0
Serimatrix Inc,1,1,1,115939.0
Sentara Health,1,1,1,131082.0
Select Minds Llc,1,1,1,115939.0
"Seatgeek, Inc.",1,1,1,150000.0
Seagate Us Llc,1,1,1,116616.0
"Schoolinks, Inc.",1,1,1,139768.0
"Sapot Systems, Inc",1,1,1,126090.0
"Schmidt Special Studies Project, Llc",1,1,1,77300.0
"Sbs Cybersecurity, Llc",1,1,1,70298.0
Sbe Llc,1,1,1,70000.0
"Saviynt, Inc.",1,1,1,149698.0
"Savannah Holding Company, Inc.",1,1,1,72000.0
"Satair Usa, Inc.",1,1,1,85692.0
Sas Institute Inc.,1,1,1,140795.0
Sara Software Systems Llc,1,1,1,126090.0
Srini Soft Systems Inc,1,1,1,101421.0
"Ssatech, Inc.",1,1,1,126090.0
"Ssp America, Inc.",1,1,1,95000.0
Tecaholic Llc,1,1,1,115939.0
Technical Strategies Inc,1,1,1,101500.0
Techevision Llc,1,1,1,80000.0
Techdata Service Company Llc,1,1,1,115000.0
Techathon Inc,1,1,1,126500.0
Tech20 Solutions Inc,1,1,1,91582.0
"Tech-Lance Solutions, Inc.",1,1,1,126090.0
Tech Vista Llc,1,1,1,126090.0
Tech Savants Llc,1,1,1,134160.0
"Targeted Victory, Llc",1,1,1,102568.0
Technofix It Solutions Llc.,1,1,1,112466.0
Targeted Victory,1,1,1,57000.0
Tango Management Consulting Llc,1,1,1,134550.0
Talent Connect Solutions Llc,1,1,1,90000.0
"Tadjer-Cohen-Edelson Associates, Inc.",1,1,1,74880.0
T.Y. Lin International,1,1,1,153600.0
T Industries Inc.,1,1,1,165000.0
"Systechcorp, Inc.",1,1,1,126500.0
Sysconsult Llc.,1,1,1,83470.0
