PARENT_EMPLOYER,certified_positions,filing_entities,applications,median_annual_wage
"Ses Americom, Inc.",5,1,5,99376.0
"Cloud Bc Labs, Inc",5,1,5,107000.0
Nantez Inc,5,1,5,107000.0
Govin Technologies Llc,5,1,5,112466.0
Vass Inc.,5,1,5,104083.0
Seer Solutions Inc,5,1,5,126090.0
"Ca, Inc.",5,1,1,162528.0
Pentagon Federal Credit Union,5,1,5,183265.0
Ipivot Llc,5,1,5,122699.0
Abeyon Llc,5,1,5,112466.0
"The Pnc Financial Services Group, Inc.",5,1,5,189488.0
Maxary Llc,5,1,5,91582.0
Msr Technology Group Llc,5,1,5,126090.0
"Palo Alto Networks, Inc.",5,1,5,108020.0
Vmware Llc,5,1,1,175427.0
"Agr, Llc",5,1,5,108347.0
"Carfax, Inc.",5,1,5,127750.0
Airline Tariff Publishing Company (Atpco),5,1,5,143600.0
"Novagigs, Inc.",5,1,5,105000.0
"Tech Tammina, Llc",5,1,5,126090.0
"I360 Holdings, Llc",5,1,5,130000.0
"Wells Fargo Bank, N.A.",5,2,5,167000.0
Morgan Stanley Services Group Inc.,5,1,5,156000.0
"Meta Platforms, Inc",5,1,5,188000.0
Ltimindtree Limited,5,1,5,118311.0
"Blue Lotus Systems, Inc.",5,1,5,102000.0
Global Alliant Inc,5,1,5,126090.0
Softworld Technologies Llc,5,1,5,101500.0
Xpand Corporation,5,1,5,146154.0
"Sap America, Inc.",5,1,5,182791.0
Hewlett Packard Enterprise Company,5,1,5,163030.0
Manassas Park City Schools,5,1,5,64683.0
Db Usa Core Corporation,5,1,5,129000.0
"System Soft Technologies, Llc",5,1,5,92000.0
Skilltune Technologies Inc,5,1,5,91585.0
Metropolitan Washington Airports Authority,4,1,4,164469.0
Sky Solutions Llc,4,1,4,128045.0
Sky Technologies Llc,4,1,4,133350.0
Evolent Health Llc,4,1,4,157879.0
Navitas Business Consulting Inc,4,1,4,126090.0
"Squad Software, Inc.",4,1,4,115939.0
"Avco Consulting, Inc.",4,1,4,121222.0
Transcend It Solutions Llc.,4,1,4,93776.0
Career Soft Solutions Inc,4,1,4,126090.0
Carfax Admin Llc,4,1,4,98375.0
"Denken Solutions, Inc.",4,1,4,140400.0
"Green Brilliance, Llc",4,1,4,145278.0
Siri Software Solutions Llc,4,1,4,96502.0
Mphasis Corporation,4,1,4,130000.0
U.S. Bank National Association,4,2,4,149616.0
"Everbridge, Inc.",4,1,4,180000.0
Bechtel Global Corporation,4,1,4,119334.0
"Bloomberg Industry Group, Inc.",4,1,4,152100.0
Bechtel Enterprises Inc.,4,1,4,188562.0
Gartner Inc,4,1,4,161583.0
Federal Express Corporation,4,1,4,151316.0
"Experis Us, Llc",4,1,4,140119.0
"Attainx, Inc.",4,1,4,101421.0
"Cambium Assessment, Inc.",4,1,4,165111.0
Bbi Law Group P.C.,4,1,4,77106.0
Pncotech Llc.,4,1,4,100610.0
Pinnacle Education Services Inc.,4,1,4,74002.0
Synechron Inc.,4,1,4,116246.0
Kbyte System Llc,4,1,4,95628.0
Enliven Technologies Inc,4,1,4,126090.0
Accenture Infrastructure And Capital Projects Llc,4,1,4,87000.0
"Leidos, Inc.",4,1,4,129000.0
O'Grady Peyton International,4,1,2,79040.0
Kpmg Llp,4,1,4,136078.0
Ellucian Company Llc,4,1,4,129898.0
Hitachi Digital Services Llc,4,1,4,118310.0
"Ampcus, Inc.",4,1,4,108230.0
Satin Solutions Llc,4,1,4,102030.0
"Comtek Global, Inc.",4,1,4,113755.0
Dpr Solutions Inc,4,2,4,94370.0
Cyber Infotech Llc,4,1,4,111250.0
"Sapphire Software Services, Inc.",4,1,4,112468.0
"Qualtrics, Llc",4,1,4,212500.0
Pycube Inc,4,1,4,91582.0
Humana Inc.,4,1,4,130406.0
"Saipsit, Inc.",4,1,4,116295.0
Wit Inc. ,4,1,4,108160.0
Pacific Consultancy Services Llc,4,1,4,101460.0
Conservation International,4,1,4,75855.0
"Agiletrailblazers, Llc",4,1,4,121014.0
"Tech Wish, Llc",4,1,4,126500.0
Econtenti Inc,4,1,4,126090.0
Ai Technologies Llc,4,1,4,94942.0
"Dekra Certification, Inc.",4,1,4,85530.0
Vision It Usa Inc.,4,1,4,106500.0
"Airbus Americas Customer Services, Inc.",4,1,4,95850.0
"Hazen And Sawyer, D.P.C.",4,1,4,135739.0
"Texperts, Inc. ",4,1,4,99840.0
"Rebel Idealist, Inc.",4,1,4,159600.0
Deloitte Services Lp,4,1,2,167219.0
"Entagile, Llc",4,1,4,115500.0
"Optum Services, Inc. ",4,1,4,130922.0
"Okta, Inc. ",4,1,4,169395.0
Viacore Technologies Inc,4,1,4,91800.0
"Artech, Llc",4,1,4,140005.0
"Devfi, Inc.",4,1,4,122250.0
"Mastercard Technologies, Llc",4,1,4,126090.0
Delphic Software Solutions Inc,4,1,4,126100.0
"Applied Predictive Technologies, Inc.",4,1,4,155500.0
Code Connect Inc,4,1,4,94942.0
"Synechron, Inc.",4,1,4,114586.0
"Inovalon, Inc.",4,1,4,122764.0
Oakton Technologies Llc,4,1,4,91582.0
Nest Technologies Corporation,4,2,4,112405.0
"Fluence Energy, Llc",3,1,3,128750.0
R3 Technology Inc ,3,1,3,116000.0
"Crowdstrike, Inc.",3,1,3,166197.0
Federal Soft Systems Inc.,3,1,3,101421.0
Cvent Inc.,3,1,3,131859.0
Delfers Business Solutions Inc.,3,1,3,120000.0
Softthink Solutions Inc,3,1,3,126880.0
Sunrise Senior Living Management Inc.,3,1,3,100069.0
Byteware Inc,3,1,3,150800.0
"Jacobs Engineering Group, Inc.",3,1,3,139656.0
"Relevantz Technology Services, Inc.",3,1,3,126500.0
Quantadigit Llc.,3,1,3,106454.0
Tanvi It Solutions Inc,3,1,3,110500.0
Dizer Corp,3,1,3,110240.0
Diyo Technologies Llc,3,1,3,127000.0
Dataflake Llc,3,1,3,126090.0
"Suffolk Construction Company, Inc.",3,1,3,91000.0
"Calix, Inc.",3,1,3,114483.0
Dpr Solutions Inc.,3,1,3,105000.0
"Erp Analysts, Inc.",3,1,3,118310.0
Successkpi Inc.,3,1,3,255000.0
"Energy Ventures Analysis, Inc.",3,1,3,121000.0
Expedent Corp,3,1,3,104100.0
The Sphere Institute ,3,1,3,103189.0
Jpmorgan Chase & Co.,3,1,3,190400.0
Btree Solutions Inc,3,1,3,126090.0
Everest Consulting Group Inc.,3,1,3,104083.0
Coforge Limited,3,1,3,94319.0
"Kaveree, Inc.",3,1,3,65291.0
The Rand Corporation,3,1,3,129402.0
"Maven, Inc.",3,1,3,130000.0
Teladoc Health Inc.,3,1,3,170872.0
"Cloudnova Technologies, Llc",3,1,3,126090.0
Staffbee Solutions Inc,3,1,3,124717.0
"Specialist Resources Global, Inc.",3,1,3,138286.0
Recursion Technologies Inc.,3,1,3,118310.0
Jz Structural Consulting Inc.,3,1,3,90938.0
Epsoft Technologies Llc,3,1,3,101421.0
"Mb It Associates, Llc",3,1,3,126090.0
Eniac Systems Inc,3,1,3,126090.0
"Commlaw Group, Pllc",3,1,3,124000.0
"Randstad Digital, Llc",3,1,3,126110.0
"Jonas Collections And Recovery, Inc.",3,1,3,135000.0
"Carilion Services, Inc. ",3,1,3,98738.0
Technova Systems Inc.,3,1,3,128461.0
Eficens Systems Inc,3,1,3,104100.0
"Pyramid Consulting, Inc.",3,1,3,88463.0
Conflux Systems Inc.,3,1,3,96000.0
Torrez Law Group,3,1,3,123157.0
Cloud Data Llc,3,1,3,101500.0
"Stratacent, Inc.",3,1,3,145392.0
"Techpro Solutions, Inc.",3,2,3,102000.0
Cdm Smith Inc.,3,1,3,90938.0
Ravin It Solutions Inc,3,1,3,106454.0
Techspec Solutions Llc,3,1,3,91582.0
Prime It Solutions,3,1,3,101425.0
Pvk Corporation,3,1,3,126090.0
"Electra.Aero, Inc.",3,1,3,190000.0
"Elevance Health, Inc.",3,1,3,182754.0
Mehar Solutions Corp.,3,1,3,126880.0
Software Enterprise Llc,3,1,3,118310.0
"Innova Solutions, Inc.",3,1,3,91582.0
"Nestlé Usa, Inc.",3,1,3,125000.0
"Isolvers, Inc.",3,1,3,154710.0
American College Of Radiology,3,1,3,155015.0
"Niha Technologies, Inc",3,1,3,115939.0
Saransh Inc,3,2,3,101500.0
Vmr Technologies Llc,3,1,3,126090.0
International Software Systems Inc,3,1,3,131810.0
Satsyil Corp,3,1,3,101500.0
New York Technology Partners Inc,3,1,3,98000.0
Anuja Ohri-Parikh Dmd Pc,3,1,3,97760.0
Visa U.S.A. Inc.,3,1,3,160500.0
Netline Technologies Llc.,3,1,3,107000.0
"Healthedge Software, Inc.",3,1,3,114187.0
Virginia University Of Science & Technology Inc.,3,1,3,84344.0
"Nestle Usa, Inc.",3,1,3,117824.0
"Apt Holdings, Llc ",3,1,3,97739.0
Halvik Corp.,3,1,3,101421.0
Vinci Education Corporation,3,1,3,67113.0
Pegasystems Inc.,3,1,3,176000.0
Secunetics Inc,3,1,3,105000.0
Artek Solutions Inc,3,1,3,92000.0
Gssr Inc,3,1,3,151000.0
"Gsk Solutions, Inc.",3,1,3,101421.0
Asclepius Solutions Inc.,3,1,3,107120.0
Navitas Business Consulting Inc.,3,1,3,121430.0
Asiacom Americas Inc.,3,1,3,66186.0
Assyst Inc. (Formerly Advanced Software Systems),3,1,3,126500.0
"Asta Crs, Inc.",3,1,3,116480.0
Natsoft Corporation,3,1,3,150758.0
"Granules Consumer Health, Llc",3,1,3,69763.0
Isoftech Inc,3,1,3,131000.0
American Association Of Motor Vehicle Administrators,3,1,3,165000.0
"Amdocs, Inc.",3,1,3,117000.0
Amalgam Technologies Inc,3,1,3,106912.0
"Indeed, Inc.",3,1,3,129667.0
2Nd Order Solutions Inc.,3,1,3,122000.0
Innovative Consulting Solutions Llc,3,1,3,126090.0
A12Xt Inc.,3,1,3,128125.0
"Zestfinance, Inc.",3,1,3,100000.0
"Zensar Technologies, Inc.",3,1,3,130000.0
