SOC_TITLE,certified_positions,median_annual_wage,median_premium_pct
"Administrative Law Judges, Adjudicators, and Hearing Officers",1,165110.0,40.9
"English Language and Literature Teachers, Postsecondary",1,67411.0,28.7
"Software Developers, R&D",1,95481.0,9.1
Acupuncturists,1,76960.0,0.3
Anesthesiologists,1,239200.0,0.0
Solar Energy Installation Managers,1,101171.0,0.0
Coaches and Scouts,1,90000.0,23.9
"Education and Childcare Administrators, Preschool and Daycare",1,65000.0,9.5
"Education Teachers, Postsecondary",1,62232.0,46.8
Statistician,1,114999.9,0.1
"Education Administrators, Postsecondary",1,85000.0,5.6
Blockchain Engineers,1,163363.2,0.0
Community Health Workers,1,54246.0,0.0
"Dentists, All Other Specialists",1,196060.8,0.0
"Community and Social Service Specialists, All Other",1,54080.0,1.0
"Teachers and Instructors, All Other",1,70000.0,37.0
Natural Sciences Managers,1,210000.0,6.7
Nanosystems Engineers,1,126152.0,0.0
Data Scientist,1,121200.0,4.5
Conservation Scientists,1,52915.0,0.0
Transportation Planners,1,92830.0,0.0
"Mathematical Science Occupations, All Other",1,130000.0,1.9
"Mining and Geological Engineers, Including Mining Safety Engineers",1,120000.0,8.9
"Computer Systems Analysts, Non R&D",1,118726.0,0.0
Video Game Designers,1,91125.0,30.0
Computer Systems Analyst,1,106912.0,0.0
Web Administrators,1,139443.0,17.9
Bioinformatics Technicians,1,92718.0,24.2
Environmental Economists,1,159994.0,0.0
"Social Work Teachers, Postsecondary",1,117916.0,103.1
"Philosophy and Religion Teachers, Postsecondary",1,68943.0,0.0
"Social Scientists and Related Workers, All Other",1,74124.2,10.5
Civil Engineer,1,76000.0,3.4
"Physicians, All Other",1,550000.0,230.3
"Physicians, Pathologists",1,300000.0,60.7
"Biological Science Teachers, Postsecondary",1,90893.0,66.5
Political Scientists,1,153462.0,0.0
"Postsecondary Teachers, All Other",1,103943.0,0.0
"Preschool Teachers, Except Special Education",1,35381.0,0.0
Logistics Engineers,1,86061.0,3.6
"Legal Support Workers, All Other",1,74922.0,0.0
Orthodontists,1,416000.0,73.9
"Kindergarten Teachers, Except Special Education",1,55930.0,0.0
Cardiologists,1,450000.0,95.9
Architectural and Civil Drafters,1,80184.0,0.0
Human Resources Managers,1,149094.0,0.0
